ms,Sensor 1 (kg),Sensor 2 (kg),Sensor  3 (kg),Sensor 4 (kg),COP distance X,COP distance Y,Total Force (kg)
1694484,0.314213,0.271925,3.21741,3.74192,1.59771,12.6696,7.54547
1694492,0.173359,0.168781,2.17153,2.61673,2.14708,12.9993,5.1304
1694508,0.0541746,0.103144,0.735662,0.950744,3.5804,12.4402,1.84372
1694519,0.0650096,0.00937672,0.425443,0.479733,-0.0342697,12.7219,0.979563
1694549,0.0108349,0.0375069,0.212722,0.296562,4.95461,12.3992,0.557626
1694561,0.0866794,0,0.0354536,0.165726,0,0,0.287859
1694571,0.0216699,0.0562603,0,0,0,0,0.0779302
1694581,0.0216699,0.0562603,0,0,0,0,0.0779302
1694591,0.0541746,0.0375069,0,0.00872242,0,0,0.100404
1694602,0.0975143,0,0,0,0,0,0.0975143
1694613,0.0975143,0,0,0,0,0,0.0975143
1694617,0.0541746,0.00937672,0,0,0,0,0.0635514
1694627,0.0541746,0.00937672,0,0,0,0,0.0635514
1694639,0.0541746,0.00937672,0,0.0436121,0,0,0.107163
1694649,0.0975143,0,0,0.0523345,0,0,0.149849
1694659,0.0975143,0,0,0.0523345,0,0,0.149849
1694669,0.0758445,0.0281302,0,0,0,0,0.103975
1694679,0.0758445,0,0.177268,0.32273,3.02241,11.0487,0.575842
1694689,0.0758445,0,0.177268,0.32273,3.02241,11.0487,0.575842
1694699,0,0,0.974974,1.06414,1.09314,15,2.03911
1694711,0,0,0.974974,1.06414,1.09314,15,2.03911
1694723,0,0,1.63973,1.85788,1.55926,15,3.4976
1694736,0,0,2.56152,2.93946,1.71758,15,5.50098
1694739,0,0,2.56152,2.93946,1.71758,15,5.50098
1694750,0.130019,0.121897,4.54692,5.11134,1.40334,14.2374,9.91018
1694758,0.140854,0.0656371,7.10845,8.05952,1.42421,14.5971,15.3745
1694773,0.140854,0.0656371,7.10845,8.05952,1.42421,14.5971,15.3745
1694780,0.390057,0.412576,9.47497,10.6239,1.40116,13.848,20.9015
1694789,0.390057,0.412576,9.47497,10.6239,1.40116,13.848,20.9015
